name,name_local,category,region,is_veg,serving_desc,serving_g,kcal,protein_g,carb_g,fiber_g,fat_g,sat_fat_g,sugar_g,sodium_mg
Muthiya,,snack,gujarat,1,3 pieces,90,214,7.0,29.0,4.2,7.6,1.6,3.2,380
Namkeen mixture,,snack,pan-india,1,30 g,30,542,13.0,46.0,5.0,34.0,9.0,3.0,940
Onion pakora,Bhaji,snack,pan-india,1,5 pieces,80,352,8.6,30.0,4.0,22.0,5.0,3.0,480
Paneer pakora,,snack,north,1,3 pieces,90,318,13.0,18.0,2.2,22.0,9.0,2.0,460
Patra,,snack,gujarat,1,3 pieces,90,208,5.4,26.0,3.6,9.0,2.0,4.4,400
"Popcorn, plain air-popped",,snack,pan-india,1,25 g,25,387,12.9,78.0,14.5,4.5,0.6,0.9,8
Roasted chana (dry),,snack,pan-india,1,30 g,30,364,22.0,58.0,18.0,5.2,0.7,5.0,25
Sabudana vada,,snack,maharashtra,1,2 pieces,80,330,4.2,40.0,2.0,17.0,3.0,1.4,360
Spring roll (veg),,snack,pan-india,1,2 pieces,100,268,5.0,32.0,2.4,13.0,3.0,3.0,560
Aloo chaat,,street,north,1,1 plate,150,186,3.0,25.0,2.6,8.4,2.0,3.2,480
Aloo tikki (2 pieces),,street,north,1,2 pieces,120,214,3.2,26.0,2.6,10.8,2.6,1.8,440
Bhel puri,,street,maharashtra,1,1 plate,120,224,5.0,36.0,3.2,6.8,1.6,6.0,560
Chicken kathi roll,,street,east,0,1 roll,200,244,13.4,26.0,1.8,10.2,3.4,2.4,580
Chicken shawarma roll,,street,pan-india,0,1 roll,220,232,14.0,24.0,1.6,9.0,2.8,2.8,620
Chole bhature (1 plate),,street,punjab,1,1 plate,350,262,7.4,32.0,4.4,11.8,4.4,3.0,560
Chole kulche,,street,punjab,1,1 plate,300,238,7.6,32.0,4.6,9.0,3.2,3.2,540
Dabeli,,street,gujarat,1,1 dabeli,120,276,5.6,36.0,2.8,12.2,4.0,6.0,540
Dahi puri,,street,maharashtra,1,1 plate,140,232,5.6,30.0,2.4,10.0,3.2,6.6,520
Egg roll,,street,east,0,1 roll,180,252,9.6,27.0,1.6,11.8,4.2,2.4,540
Frankie / veg roll,,street,maharashtra,1,1 roll,180,238,6.4,30.0,2.4,10.0,3.0,3.0,560
Kachori,,street,rajasthan,1,1 kachori,55,368,8.0,36.0,3.4,21.0,8.0,1.4,460
Kathi paneer roll,,street,north,1,1 roll,200,250,10.0,26.0,2.0,11.8,5.4,2.8,540
Misal pav,,street,maharashtra,1,1 plate,300,168,6.6,21.0,4.6,6.4,2.4,2.4,540
"Momos, steamed chicken (6)",,street,pan-india,0,6 pieces,150,196,10.4,24.0,1.4,6.2,1.8,1.8,460
"Momos, steamed veg (6)",,street,pan-india,1,6 pieces,150,168,5.0,26.0,2.0,4.6,1.2,2.0,420
Pani puri (6 pieces),Golgappa,street,pan-india,1,6 pieces,90,168,3.4,26.0,2.2,5.6,1.4,3.0,480
Papdi chaat,,street,north,1,1 plate,150,248,5.4,30.0,2.8,11.6,3.4,6.0,560
Pav bhaji (bhaji only),,street,maharashtra,1,1 katori,180,126,2.6,14.0,3.2,6.8,3.6,3.6,420
Pav bhaji (full plate),,street,maharashtra,1,1 plate,300,180,4.4,24.0,3.0,7.4,3.8,3.6,520
Samosa,,street,pan-india,1,1 samosa,60,308,5.2,32.0,2.6,17.6,7.0,1.8,420
Sev puri,,street,maharashtra,1,1 plate,120,286,5.6,34.0,3.0,14.0,3.4,5.4,580
Vada pav,,street,maharashtra,1,1 vada pav,130,286,6.4,38.0,2.8,12.0,4.6,3.2,520
Barfi (milk),,sweet,pan-india,1,2 pieces,50,398,9.4,50.0,0.3,17.6,10.8,45.0,80
Besan laddoo,,sweet,pan-india,1,1 laddoo,40,468,9.0,52.0,4.0,25.0,13.0,36.0,45
Chikki (groundnut),,sweet,maharashtra,1,30 g,30,478,13.0,54.0,4.0,24.0,4.4,44.0,40
Gajar halwa,,sweet,punjab,1,1 katori,100,278,4.6,34.0,2.2,14.0,8.4,28.0,70
Gud (jaggery),,sweet,pan-india,1,1 tbsp,15,383,0.4,98.0,0.0,0.1,0.0,90.0,30
Gulab jamun,,sweet,pan-india,1,2 pieces,80,336,4.6,48.0,0.6,14.6,7.6,38.0,90
"Halwa, atta",,sweet,punjab,1,1 katori,100,382,6.0,50.0,2.4,18.0,11.0,26.0,55
"Ice cream, vanilla",,sweet,pan-india,1,1 scoop,60,207,3.5,24.0,0.7,11.0,6.8,21.0,80
Jalebi,,sweet,pan-india,1,2 pieces,60,392,2.0,58.0,0.4,17.0,7.0,52.0,60
Kaju katli,,sweet,pan-india,1,3 pieces,30,478,10.0,52.0,1.6,26.0,6.0,44.0,30
Kesari bath,,sweet,karnataka,1,1 katori,120,338,4.2,52.0,1.0,12.4,7.0,30.0,120
Kheer (rice),Payasam,sweet,pan-india,1,1 katori,150,148,3.8,22.0,0.4,4.8,2.9,16.0,60
Malpua,,sweet,east,1,1 piece,50,388,5.0,50.0,0.8,19.0,8.4,34.0,70
Mishti doi,,sweet,east,1,1 katori,100,196,5.0,32.0,0.0,5.4,3.4,29.0,70
Modak (steamed),,sweet,maharashtra,1,2 pieces,80,282,4.4,44.0,2.6,10.0,7.0,24.0,50
Moong dal halwa,,sweet,rajasthan,1,1 katori,100,428,8.0,50.0,3.0,22.0,13.0,32.0,60
Motichoor laddoo,,sweet,north,1,1 laddoo,45,440,5.4,58.0,1.4,21.0,10.0,44.0,55
Mysore pak,,sweet,karnataka,1,1 piece,30,560,6.0,52.0,2.0,36.0,22.0,44.0,40
Peda,,sweet,pan-india,1,2 pieces,40,412,9.0,54.0,0.2,18.0,11.0,48.0,80
Puran poli with ghee,,sweet,maharashtra,1,1 piece,90,366,7.0,54.0,3.4,13.4,7.6,22.0,90
Rasgulla,,sweet,east,1,2 pieces,100,186,4.0,38.0,0.2,2.6,1.6,36.0,60
Rasmalai,,sweet,east,1,2 pieces,120,268,7.4,32.0,0.3,12.4,7.6,30.0,90
Sandesh,,sweet,east,1,2 pieces,60,318,12.0,34.0,0.2,14.0,8.6,30.0,80
Sevai kheer,,sweet,pan-india,1,1 katori,150,162,4.2,25.0,0.5,5.0,3.0,17.0,60
Shrikhand,,sweet,gujarat,1,1 katori,100,262,6.4,34.0,0.2,11.0,7.0,31.0,70
Sooji halwa,,sweet,pan-india,1,1 katori,100,346,4.6,52.0,1.2,13.4,7.8,30.0,60
Beetroot,Chukandar,vegetable,pan-india,1,1 medium,100,43,1.6,9.6,2.8,0.2,0.0,6.8,78
Bitter gourd,Karela,vegetable,pan-india,1,1 katori,100,17,1.0,3.7,2.8,0.2,0.0,1.9,5
Bottle gourd,Lauki,vegetable,pan-india,1,1 katori,100,14,0.6,3.4,0.5,0.0,0.0,1.4,2
Brinjal,Baingan,vegetable,pan-india,1,1 medium,100,25,1.0,5.9,3.0,0.2,0.0,3.5,2
"Cabbage, raw",Patta gobi,vegetable,pan-india,1,1 katori,100,25,1.3,5.8,2.5,0.1,0.0,3.2,18
Capsicum,Shimla mirch,vegetable,pan-india,1,1 medium,100,26,1.0,6.0,2.1,0.3,0.1,4.2,4
"Carrot, raw",Gajar,vegetable,pan-india,1,1 medium,80,41,0.9,9.6,2.8,0.2,0.0,4.7,69
"Cauliflower, raw",Gobi,vegetable,pan-india,1,1 katori,100,25,1.9,5.0,2.0,0.3,0.1,1.9,30
Cucumber,Kheera,vegetable,pan-india,1,1 medium,150,15,0.7,3.6,0.5,0.1,0.0,1.7,2
Drumstick,Sahjan,vegetable,south,1,2 pieces,80,37,2.1,8.5,3.2,0.2,0.0,1.5,42
Green peas,Matar,vegetable,pan-india,1,1 katori,100,81,5.4,14.5,5.1,0.4,0.1,5.7,5
Green salad (kachumber),,vegetable,pan-india,1,1 katori,120,28,1.1,6.0,1.6,0.2,0.0,3.2,180
"Lady finger, raw",Bhindi,vegetable,pan-india,1,1 katori,100,33,1.9,7.5,3.2,0.2,0.0,1.5,7
"Onion, raw",Pyaaz,vegetable,pan-india,1,1 medium,100,40,1.1,9.3,1.7,0.1,0.0,4.2,4
"Potato, boiled",Aloo,vegetable,pan-india,1,1 medium,100,87,1.9,20.1,1.8,0.1,0.0,0.9,4
"Spinach, raw",Palak,vegetable,pan-india,1,1 katori,100,23,2.9,3.6,2.2,0.4,0.1,0.4,79
"Sweet potato, boiled",Shakarkandi,vegetable,pan-india,1,1 medium,130,90,2.0,20.7,3.3,0.2,0.1,6.5,36
"Tomato, raw",Tamatar,vegetable,pan-india,1,1 medium,100,18,0.9,3.9,1.2,0.2,0.0,2.6,5
